exon	length	distribution
3	77	(prob=0.0008,cumulative=0.0008)
4	129	(prob=0.0013,cumulative=0.0020)
5	130	(prob=0.0013,cumulative=0.0033)
6	248	(prob=0.0025,cumulative=0.0058)
7	145	(prob=0.0014,cumulative=0.0072)
8	107	(prob=0.0011,cumulative=0.0083)
9	163	(prob=0.0016,cumulative=0.0099)
10	89	(prob=0.0009,cumulative=0.0108)
11	68	(prob=0.0007,cumulative=0.0115)
12	96	(prob=0.0010,cumulative=0.0124)
13	84	(prob=0.0008,cumulative=0.0133)
14	78	(prob=0.0008,cumulative=0.0141)
15	88	(prob=0.0009,cumulative=0.0149)
16	76	(prob=0.0008,cumulative=0.0157)
17	88	(prob=0.0009,cumulative=0.0166)
18	93	(prob=0.0009,cumulative=0.0175)
19	77	(prob=0.0008,cumulative=0.0183)
20	85	(prob=0.0008,cumulative=0.0191)
21	95	(prob=0.0009,cumulative=0.0200)
22	97	(prob=0.0010,cumulative=0.0210)
23	74	(prob=0.0007,cumulative=0.0217)
24	99	(prob=0.0010,cumulative=0.0227)
25	126	(prob=0.0013,cumulative=0.0240)
26	80	(prob=0.0008,cumulative=0.0248)
27	128	(prob=0.0013,cumulative=0.0260)
28	117	(prob=0.0012,cumulative=0.0272)
29	80	(prob=0.0008,cumulative=0.0280)
30	131	(prob=0.0013,cumulative=0.0293)
31	125	(prob=0.0012,cumulative=0.0305)
32	101	(prob=0.0010,cumulative=0.0316)
33	119	(prob=0.0012,cumulative=0.0327)
34	118	(prob=0.0012,cumulative=0.0339)
35	112	(prob=0.0011,cumulative=0.0350)
36	110	(prob=0.0011,cumulative=0.0361)
37	157	(prob=0.0016,cumulative=0.0377)
38	109	(prob=0.0011,cumulative=0.0388)
39	150	(prob=0.0015,cumulative=0.0402)
40	141	(prob=0.0014,cumulative=0.0417)
41	124	(prob=0.0012,cumulative=0.0429)
42	157	(prob=0.0016,cumulative=0.0444)
43	132	(prob=0.0013,cumulative=0.0458)
44	146	(prob=0.0015,cumulative=0.0472)
45	169	(prob=0.0017,cumulative=0.0489)
46	196	(prob=0.0019,cumulative=0.0508)
47	148	(prob=0.0015,cumulative=0.0523)
48	178	(prob=0.0018,cumulative=0.0541)
49	179	(prob=0.0018,cumulative=0.0559)
50	189	(prob=0.0019,cumulative=0.0577)
51	235	(prob=0.0023,cumulative=0.0601)
52	222	(prob=0.0022,cumulative=0.0623)
53	228	(prob=0.0023,cumulative=0.0645)
54	301	(prob=0.0030,cumulative=0.0675)
55	276	(prob=0.0027,cumulative=0.0703)
56	229	(prob=0.0023,cumulative=0.0726)
57	308	(prob=0.0031,cumulative=0.0756)
58	275	(prob=0.0027,cumulative=0.0784)
59	255	(prob=0.0025,cumulative=0.0809)
60	322	(prob=0.0032,cumulative=0.0841)
61	302	(prob=0.0030,cumulative=0.0871)
62	318	(prob=0.0032,cumulative=0.0903)
63	390	(prob=0.0039,cumulative=0.0941)
64	326	(prob=0.0032,cumulative=0.0974)
65	332	(prob=0.0033,cumulative=0.1007)
66	366	(prob=0.0036,cumulative=0.1043)
67	330	(prob=0.0033,cumulative=0.1076)
68	326	(prob=0.0032,cumulative=0.1108)
69	419	(prob=0.0042,cumulative=0.1150)
70	359	(prob=0.0036,cumulative=0.1186)
71	370	(prob=0.0037,cumulative=0.1222)
72	421	(prob=0.0042,cumulative=0.1264)
73	369	(prob=0.0037,cumulative=0.1301)
74	393	(prob=0.0039,cumulative=0.1340)
75	436	(prob=0.0043,cumulative=0.1383)
76	364	(prob=0.0036,cumulative=0.1420)
77	380	(prob=0.0038,cumulative=0.1457)
78	444	(prob=0.0044,cumulative=0.1501)
79	367	(prob=0.0036,cumulative=0.1538)
80	390	(prob=0.0039,cumulative=0.1577)
81	432	(prob=0.0043,cumulative=0.1620)
82	380	(prob=0.0038,cumulative=0.1657)
83	426	(prob=0.0042,cumulative=0.1700)
84	509	(prob=0.0051,cumulative=0.1750)
85	388	(prob=0.0039,cumulative=0.1789)
86	450	(prob=0.0045,cumulative=0.1834)
87	478	(prob=0.0048,cumulative=0.1881)
88	414	(prob=0.0041,cumulative=0.1922)
89	457	(prob=0.0045,cumulative=0.1968)
90	494	(prob=0.0049,cumulative=0.2017)
91	398	(prob=0.0040,cumulative=0.2056)
92	416	(prob=0.0041,cumulative=0.2098)
93	462	(prob=0.0046,cumulative=0.2144)
94	426	(prob=0.0042,cumulative=0.2186)
95	404	(prob=0.0040,cumulative=0.2226)
96	507	(prob=0.0050,cumulative=0.2277)
97	458	(prob=0.0046,cumulative=0.2322)
98	432	(prob=0.0043,cumulative=0.2365)
99	502	(prob=0.0050,cumulative=0.2415)
100	472	(prob=0.0047,cumulative=0.2462)
101	433	(prob=0.0043,cumulative=0.2505)
102	502	(prob=0.0050,cumulative=0.2555)
103	454	(prob=0.0045,cumulative=0.2600)
104	425	(prob=0.0042,cumulative=0.2642)
105	459	(prob=0.0046,cumulative=0.2688)
106	428	(prob=0.0043,cumulative=0.2730)
107	422	(prob=0.0042,cumulative=0.2772)
108	497	(prob=0.0049,cumulative=0.2822)
