gene	length	distribution
160	1	(prob=0.0001,cumulative=0.0001)
166	1	(prob=0.0001,cumulative=0.0001)
180	5	(prob=0.0003,cumulative=0.0004)
183	1	(prob=0.0001,cumulative=0.0005)
185	1	(prob=0.0001,cumulative=0.0005)
186	1	(prob=0.0001,cumulative=0.0006)
188	1	(prob=0.0001,cumulative=0.0006)
191	1	(prob=0.0001,cumulative=0.0007)
192	2	(prob=0.0001,cumulative=0.0008)
194	1	(prob=0.0001,cumulative=0.0009)
195	1	(prob=0.0001,cumulative=0.0009)
198	3	(prob=0.0002,cumulative=0.0011)
200	2	(prob=0.0001,cumulative=0.0012)
201	4	(prob=0.0002,cumulative=0.0015)
202	2	(prob=0.0001,cumulative=0.0016)
203	1	(prob=0.0001,cumulative=0.0017)
204	6	(prob=0.0004,cumulative=0.0020)
206	2	(prob=0.0001,cumulative=0.0021)
207	1	(prob=0.0001,cumulative=0.0022)
210	3	(prob=0.0002,cumulative=0.0024)
212	2	(prob=0.0001,cumulative=0.0025)
213	1	(prob=0.0001,cumulative=0.0025)
215	1	(prob=0.0001,cumulative=0.0026)
216	3	(prob=0.0002,cumulative=0.0028)
217	1	(prob=0.0001,cumulative=0.0028)
218	1	(prob=0.0001,cumulative=0.0029)
219	1	(prob=0.0001,cumulative=0.0029)
221	2	(prob=0.0001,cumulative=0.0031)
222	3	(prob=0.0002,cumulative=0.0032)
225	3	(prob=0.0002,cumulative=0.0034)
228	2	(prob=0.0001,cumulative=0.0035)
229	2	(prob=0.0001,cumulative=0.0037)
230	1	(prob=0.0001,cumulative=0.0037)
231	1	(prob=0.0001,cumulative=0.0038)
233	2	(prob=0.0001,cumulative=0.0039)
234	1	(prob=0.0001,cumulative=0.0040)
236	1	(prob=0.0001,cumulative=0.0040)
237	2	(prob=0.0001,cumulative=0.0041)
238	1	(prob=0.0001,cumulative=0.0042)
239	1	(prob=0.0001,cumulative=0.0042)
240	1	(prob=0.0001,cumulative=0.0043)
241	1	(prob=0.0001,cumulative=0.0044)
243	5	(prob=0.0003,cumulative=0.0047)
244	3	(prob=0.0002,cumulative=0.0048)
245	3	(prob=0.0002,cumulative=0.0050)
246	4	(prob=0.0002,cumulative=0.0052)
247	2	(prob=0.0001,cumulative=0.0054)
249	7	(prob=0.0004,cumulative=0.0058)
250	5	(prob=0.0003,cumulative=0.0061)
251	5	(prob=0.0003,cumulative=0.0064)
252	5	(prob=0.0003,cumulative=0.0067)
253	3	(prob=0.0002,cumulative=0.0068)
254	3	(prob=0.0002,cumulative=0.0070)
255	6	(prob=0.0004,cumulative=0.0074)
256	5	(prob=0.0003,cumulative=0.0077)
257	4	(prob=0.0002,cumulative=0.0079)
258	7	(prob=0.0004,cumulative=0.0083)
259	2	(prob=0.0001,cumulative=0.0084)
260	2	(prob=0.0001,cumulative=0.0086)
261	4	(prob=0.0002,cumulative=0.0088)
262	2	(prob=0.0001,cumulative=0.0089)
263	5	(prob=0.0003,cumulative=0.0092)
264	7	(prob=0.0004,cumulative=0.0096)
265	3	(prob=0.0002,cumulative=0.0098)
266	5	(prob=0.0003,cumulative=0.0101)
267	10	(prob=0.0006,cumulative=0.0107)
268	4	(prob=0.0002,cumulative=0.0109)
270	7	(prob=0.0004,cumulative=0.0113)
271	6	(prob=0.0004,cumulative=0.0117)
272	7	(prob=0.0004,cumulative=0.0121)
273	8	(prob=0.0005,cumulative=0.0126)
274	6	(prob=0.0004,cumulative=0.0129)
275	2	(prob=0.0001,cumulative=0.0130)
276	6	(prob=0.0004,cumulative=0.0134)
277	3	(prob=0.0002,cumulative=0.0136)
278	3	(prob=0.0002,cumulative=0.0137)
279	9	(prob=0.0005,cumulative=0.0143)
280	5	(prob=0.0003,cumulative=0.0146)
281	5	(prob=0.0003,cumulative=0.0149)
282	14	(prob=0.0008,cumulative=0.0157)
283	2	(prob=0.0001,cumulative=0.0158)
284	2	(prob=0.0001,cumulative=0.0159)
285	12	(prob=0.0007,cumulative=0.0166)
286	6	(prob=0.0004,cumulative=0.0170)
287	3	(prob=0.0002,cumulative=0.0172)
288	9	(prob=0.0005,cumulative=0.0177)
289	3	(prob=0.0002,cumulative=0.0179)
290	3	(prob=0.0002,cumulative=0.0180)
291	5	(prob=0.0003,cumulative=0.0183)
292	5	(prob=0.0003,cumulative=0.0186)
293	4	(prob=0.0002,cumulative=0.0189)
294	7	(prob=0.0004,cumulative=0.0193)
295	6	(prob=0.0004,cumulative=0.0196)
297	9	(prob=0.0005,cumulative=0.0202)
298	8	(prob=0.0005,cumulative=0.0206)
299	4	(prob=0.0002,cumulative=0.0209)
300	13	(prob=0.0008,cumulative=0.0216)
301	5	(prob=0.0003,cumulative=0.0219)
302	4	(prob=0.0002,cumulative=0.0222)
303	9	(prob=0.0005,cumulative=0.0227)
304	6	(prob=0.0004,cumulative=0.0231)
305	3	(prob=0.0002,cumulative=0.0232)
306	11	(prob=0.0006,cumulative=0.0239)
307	6	(prob=0.0004,cumulative=0.0242)
308	6	(prob=0.0004,cumulative=0.0246)
309	18	(prob=0.0011,cumulative=0.0257)
310	4	(prob=0.0002,cumulative=0.0259)
311	7	(prob=0.0004,cumulative=0.0263)
312	18	(prob=0.0011,cumulative=0.0274)
313	5	(prob=0.0003,cumulative=0.0277)
314	7	(prob=0.0004,cumulative=0.0281)
315	12	(prob=0.0007,cumulative=0.0288)
316	1	(prob=0.0001,cumulative=0.0288)
317	6	(prob=0.0004,cumulative=0.0292)
318	19	(prob=0.0011,cumulative=0.0303)
319	5	(prob=0.0003,cumulative=0.0306)
320	4	(prob=0.0002,cumulative=0.0308)
321	15	(prob=0.0009,cumulative=0.0317)
322	6	(prob=0.0004,cumulative=0.0321)
323	8	(prob=0.0005,cumulative=0.0326)
324	13	(prob=0.0008,cumulative=0.0333)
325	4	(prob=0.0002,cumulative=0.0336)
326	4	(prob=0.0002,cumulative=0.0338)
327	14	(prob=0.0008,cumulative=0.0346)
328	4	(prob=0.0002,cumulative=0.0349)
329	3	(prob=0.0002,cumulative=0.0350)
330	22	(prob=0.0013,cumulative=0.0363)
331	3	(prob=0.0002,cumulative=0.0365)
332	8	(prob=0.0005,cumulative=0.0370)
333	13	(prob=0.0008,cumulative=0.0377)
334	7	(prob=0.0004,cumulative=0.0382)
335	4	(prob=0.0002,cumulative=0.0384)
336	10	(prob=0.0006,cumulative=0.0390)
337	3	(prob=0.0002,cumulative=0.0392)
338	2	(prob=0.0001,cumulative=0.0393)
339	12	(prob=0.0007,cumulative=0.0400)
340	6	(prob=0.0004,cumulative=0.0403)
341	4	(prob=0.0002,cumulative=0.0406)
342	13	(prob=0.0008,cumulative=0.0413)
343	5	(prob=0.0003,cumulative=0.0416)
344	3	(prob=0.0002,cumulative=0.0418)
345	16	(prob=0.0009,cumulative=0.0428)
346	6	(prob=0.0004,cumulative=0.0431)
347	5	(prob=0.0003,cumulative=0.0434)
348	13	(prob=0.0008,cumulative=0.0442)
349	8	(prob=0.0005,cumulative=0.0446)
350	8	(prob=0.0005,cumulative=0.0451)
351	15	(prob=0.0009,cumulative=0.0460)
352	5	(prob=0.0003,cumulative=0.0463)
353	6	(prob=0.0004,cumulative=0.0467)
354	15	(prob=0.0009,cumulative=0.0475)
355	6	(prob=0.0004,cumulative=0.0479)
356	5	(prob=0.0003,cumulative=0.0482)
357	12	(prob=0.0007,cumulative=0.0489)
358	5	(prob=0.0003,cumulative=0.0492)
359	6	(prob=0.0004,cumulative=0.0495)
360	18	(prob=0.0011,cumulative=0.0506)
361	5	(prob=0.0003,cumulative=0.0509)
362	8	(prob=0.0005,cumulative=0.0514)
363	17	(prob=0.0010,cumulative=0.0524)
364	2	(prob=0.0001,cumulative=0.0525)
365	7	(prob=0.0004,cumulative=0.0529)
366	11	(prob=0.0006,cumulative=0.0536)
367	5	(prob=0.0003,cumulative=0.0538)
368	11	(prob=0.0006,cumulative=0.0545)
369	21	(prob=0.0012,cumulative=0.0557)
370	4	(prob=0.0002,cumulative=0.0560)
371	3	(prob=0.0002,cumulative=0.0561)
372	9	(prob=0.0005,cumulative=0.0567)
373	2	(prob=0.0001,cumulative=0.0568)
374	12	(prob=0.0007,cumulative=0.0575)
375	14	(prob=0.0008,cumulative=0.0583)
376	3	(prob=0.0002,cumulative=0.0585)
377	6	(prob=0.0004,cumulative=0.0589)
378	11	(prob=0.0006,cumulative=0.0595)
379	1	(prob=0.0001,cumulative=0.0596)
380	5	(prob=0.0003,cumulative=0.0599)
381	16	(prob=0.0009,cumulative=0.0608)
382	8	(prob=0.0005,cumulative=0.0613)
383	3	(prob=0.0002,cumulative=0.0615)
384	9	(prob=0.0005,cumulative=0.0620)
385	9	(prob=0.0005,cumulative=0.0625)
386	4	(prob=0.0002,cumulative=0.0628)
387	12	(prob=0.0007,cumulative=0.0635)
388	10	(prob=0.0006,cumulative=0.0640)
389	2	(prob=0.0001,cumulative=0.0642)
390	14	(prob=0.0008,cumulative=0.0650)
391	3	(prob=0.0002,cumulative=0.0652)
392	7	(prob=0.0004,cumulative=0.0656)
393	12	(prob=0.0007,cumulative=0.0663)
394	3	(prob=0.0002,cumulative=0.0665)
395	7	(prob=0.0004,cumulative=0.0669)
396	15	(prob=0.0009,cumulative=0.0678)
397	8	(prob=0.0005,cumulative=0.0682)
398	3	(prob=0.0002,cumulative=0.0684)
399	11	(prob=0.0006,cumulative=0.0691)
400	9	(prob=0.0005,cumulative=0.0696)
401	5	(prob=0.0003,cumulative=0.0699)
402	12	(prob=0.0007,cumulative=0.0706)
403	5	(prob=0.0003,cumulative=0.0709)
404	6	(prob=0.0004,cumulative=0.0712)
405	13	(prob=0.0008,cumulative=0.0720)
406	4	(prob=0.0002,cumulative=0.0722)
407	6	(prob=0.0004,cumulative=0.0726)
408	11	(prob=0.0006,cumulative=0.0732)
