intron	length	distribution
21	17	(prob=0.0002,cumulative=0.0002)
22	11	(prob=0.0001,cumulative=0.0003)
23	19	(prob=0.0002,cumulative=0.0006)
24	8	(prob=0.0001,cumulative=0.0007)
25	16	(prob=0.0002,cumulative=0.0008)
26	14	(prob=0.0002,cumulative=0.0010)
27	16	(prob=0.0002,cumulative=0.0012)
28	27	(prob=0.0003,cumulative=0.0015)
29	38	(prob=0.0005,cumulative=0.0020)
30	32	(prob=0.0004,cumulative=0.0024)
31	28	(prob=0.0003,cumulative=0.0027)
32	70	(prob=0.0008,cumulative=0.0035)
33	36	(prob=0.0004,cumulative=0.0040)
34	51	(prob=0.0006,cumulative=0.0046)
35	133	(prob=0.0016,cumulative=0.0062)
36	197	(prob=0.0024,cumulative=0.0085)
37	612	(prob=0.0073,cumulative=0.0158)
38	1359	(prob=0.0162,cumulative=0.0321)
39	2278	(prob=0.0272,cumulative=0.0593)
40	4073	(prob=0.0487,cumulative=0.1080)
41	5447	(prob=0.0651,cumulative=0.1731)
42	5857	(prob=0.0700,cumulative=0.2432)
43	6335	(prob=0.0757,cumulative=0.3189)
44	5901	(prob=0.0706,cumulative=0.3895)
45	4561	(prob=0.0545,cumulative=0.4440)
46	3662	(prob=0.0438,cumulative=0.4878)
47	2880	(prob=0.0344,cumulative=0.5222)
48	1904	(prob=0.0228,cumulative=0.5450)
49	1520	(prob=0.0182,cumulative=0.5631)
50	1153	(prob=0.0138,cumulative=0.5769)
51	715	(prob=0.0085,cumulative=0.5855)
52	582	(prob=0.0070,cumulative=0.5924)
53	428	(prob=0.0051,cumulative=0.5976)
54	298	(prob=0.0036,cumulative=0.6011)
55	252	(prob=0.0030,cumulative=0.6041)
56	267	(prob=0.0032,cumulative=0.6073)
57	227	(prob=0.0027,cumulative=0.6100)
58	259	(prob=0.0031,cumulative=0.6131)
59	307	(prob=0.0037,cumulative=0.6168)
60	265	(prob=0.0032,cumulative=0.6200)
61	292	(prob=0.0035,cumulative=0.6235)
62	307	(prob=0.0037,cumulative=0.6271)
63	258	(prob=0.0031,cumulative=0.6302)
64	276	(prob=0.0033,cumulative=0.6335)
65	258	(prob=0.0031,cumulative=0.6366)
66	217	(prob=0.0026,cumulative=0.6392)
67	215	(prob=0.0026,cumulative=0.6418)
68	271	(prob=0.0032,cumulative=0.6450)
69	209	(prob=0.0025,cumulative=0.6475)
70	277	(prob=0.0033,cumulative=0.6508)
71	280	(prob=0.0033,cumulative=0.6542)
72	273	(prob=0.0033,cumulative=0.6574)
73	276	(prob=0.0033,cumulative=0.6607)
74	283	(prob=0.0034,cumulative=0.6641)
75	249	(prob=0.0030,cumulative=0.6671)
76	240	(prob=0.0029,cumulative=0.6700)
77	265	(prob=0.0032,cumulative=0.6731)
78	209	(prob=0.0025,cumulative=0.6756)
79	224	(prob=0.0027,cumulative=0.6783)
80	222	(prob=0.0027,cumulative=0.6810)
81	168	(prob=0.0020,cumulative=0.6830)
82	190	(prob=0.0023,cumulative=0.6852)
83	181	(prob=0.0022,cumulative=0.6874)
84	153	(prob=0.0018,cumulative=0.6892)
85	140	(prob=0.0017,cumulative=0.6909)
86	150	(prob=0.0018,cumulative=0.6927)
87	148	(prob=0.0018,cumulative=0.6945)
88	137	(prob=0.0016,cumulative=0.6961)
89	173	(prob=0.0021,cumulative=0.6982)
90	132	(prob=0.0016,cumulative=0.6998)
91	155	(prob=0.0019,cumulative=0.7016)
92	164	(prob=0.0020,cumulative=0.7036)
93	158	(prob=0.0019,cumulative=0.7055)
94	173	(prob=0.0021,cumulative=0.7075)
95	167	(prob=0.0020,cumulative=0.7095)
96	165	(prob=0.0020,cumulative=0.7115)
97	175	(prob=0.0021,cumulative=0.7136)
98	142	(prob=0.0017,cumulative=0.7153)
99	137	(prob=0.0016,cumulative=0.7169)
100	129	(prob=0.0015,cumulative=0.7185)
101	169	(prob=0.0020,cumulative=0.7205)
102	125	(prob=0.0015,cumulative=0.7220)
103	133	(prob=0.0016,cumulative=0.7236)
104	120	(prob=0.0014,cumulative=0.7250)
105	128	(prob=0.0015,cumulative=0.7265)
106	122	(prob=0.0015,cumulative=0.7280)
107	146	(prob=0.0017,cumulative=0.7297)
108	111	(prob=0.0013,cumulative=0.7311)
109	101	(prob=0.0012,cumulative=0.7323)
110	104	(prob=0.0012,cumulative=0.7335)
111	104	(prob=0.0012,cumulative=0.7348)
112	103	(prob=0.0012,cumulative=0.7360)
113	93	(prob=0.0011,cumulative=0.7371)
114	105	(prob=0.0013,cumulative=0.7384)
115	116	(prob=0.0014,cumulative=0.7397)
116	90	(prob=0.0011,cumulative=0.7408)
117	121	(prob=0.0014,cumulative=0.7423)
118	100	(prob=0.0012,cumulative=0.7435)
119	92	(prob=0.0011,cumulative=0.7446)
120	81	(prob=0.0010,cumulative=0.7455)
121	77	(prob=0.0009,cumulative=0.7465)
122	101	(prob=0.0012,cumulative=0.7477)
123	97	(prob=0.0012,cumulative=0.7488)
124	105	(prob=0.0013,cumulative=0.7501)
125	97	(prob=0.0012,cumulative=0.7512)
126	84	(prob=0.0010,cumulative=0.7522)
127	85	(prob=0.0010,cumulative=0.7533)
128	78	(prob=0.0009,cumulative=0.7542)
129	76	(prob=0.0009,cumulative=0.7551)
130	90	(prob=0.0011,cumulative=0.7562)
131	88	(prob=0.0011,cumulative=0.7572)
132	88	(prob=0.0011,cumulative=0.7583)
133	89	(prob=0.0011,cumulative=0.7593)
134	95	(prob=0.0011,cumulative=0.7605)
135	78	(prob=0.0009,cumulative=0.7614)
136	94	(prob=0.0011,cumulative=0.7625)
137	75	(prob=0.0009,cumulative=0.7634)
138	76	(prob=0.0009,cumulative=0.7643)
139	79	(prob=0.0009,cumulative=0.7653)
