Contig	Length	GC	Coverage	NumMasked
chr1	14533022	40.67	247.18	2013495
chr2	16158756	40.84	250.90	2047104
PAR	17092476	41.08	253.89	2040592
XSR	12959145	42.08	140.32	1143959
YSR	2916375	40.44	150.36	1600999
chrUn_1	11000	42.04	130.51	88
chrUn_2	57957	41.79	136.26	1981
chrUn_3	131584	31.44	114.11	106132
chrUn_4	110603	38.31	128.12	84908
chrUn_5	79680	35.18	99.72	66677
chrUn_6	68433	29.47	121.67	62411
chrUn_7	57156	42.71	126.52	6678
chrUn_8	35216	33.44	260.98	30615
chrUn_9	34892	33.81	134.53	27218
chrUn_10	3851	41.42	140.09	84
chrUn_11	13568	45.97	244.69	13381
chrUn_12	9225	27.51	126.73	224
chrUn_13	5739	15.89	294.69	4672
chrUn_14	2887	36.16	129.76	1775
