Contig	Window	GC	Depth	NumMasked	RESites
chr1	0-50000	38.10	248.10	43951	149
chr1	50000-100000	36.95	241.22	34868	151
chr1	100000-150000	36.24	239.04	44746	134
chr1	150000-200000	36.49	249.17	36354	105
chr1	200000-250000	36.01	235.16	25663	125
chr1	250000-300000	39.30	266.47	10480	161
chr1	300000-350000	37.28	254.91	27122	141
chr1	350000-400000	37.71	289.49	16390	186
chr1	400000-450000	36.14	237.57	23569	166
chr1	450000-500000	36.10	229.22	20842	116
chr1	500000-550000	42.28	257.93	22636	209
chr1	550000-600000	39.57	249.41	6587	195
chr1	600000-650000	38.47	247.57	15904	199
chr1	650000-700000	40.82	279.61	6636	212
chr1	700000-750000	38.76	257.59	12205	173
chr1	750000-800000	39.68	267.31	11144	185
chr1	800000-850000	40.88	265.16	12329	194
chr1	850000-900000	38.10	250.81	10328	204
chr1	900000-950000	38.59	265.90	8691	188
chr1	950000-1000000	39.32	264.14	9772	175
chr1	1000000-1050000	40.64	270.11	10208	202
chr1	1050000-1100000	41.82	218.46	9620	230
chr1	1100000-1150000	42.15	265.07	9926	219
chr1	1150000-1200000	40.97	271.01	12510	192
chr1	1200000-1250000	37.32	255.27	9300	147
chr1	1250000-1300000	40.34	256.98	8849	190
chr1	1300000-1350000	39.67	236.64	6770	189
chr1	1350000-1400000	40.88	250.21	8319	251
chr1	1400000-1450000	41.47	281.41	5535	231
chr1	1450000-1500000	39.54	258.33	11170	192
chr1	1500000-1550000	38.98	255.58	5623	221
chr1	1550000-1600000	41.64	279.53	9968	217
chr1	1600000-1650000	41.24	251.51	1297	220
chr1	1650000-1700000	39.19	246.07	2375	171
chr1	1700000-1750000	38.74	251.79	11838	173
chr1	1750000-1800000	41.42	281.52	11398	201
chr1	1800000-1850000	40.27	260.77	5646	205
chr1	1850000-1900000	40.29	245.61	5911	193
chr1	1900000-1950000	40.62	168.63	782	225
chr1	1950000-2000000	38.98	227.86	5318	209
chr1	2000000-2050000	39.75	227.93	3610	182
chr1	2050000-2100000	38.96	236.60	7645	193
chr1	2100000-2150000	40.60	235.15	7271	179
chr1	2150000-2200000	40.12	217.53	5428	220
chr1	2200000-2250000	38.48	218.39	6317	185
chr1	2250000-2300000	38.68	224.15	6925	193
chr1	2300000-2350000	38.58	241.40	4284	201
chr1	2350000-2400000	39.71	242.45	5323	210
chr1	2400000-2450000	38.56	192.99	8640	171
chr1	2450000-2500000	40.60	243.77	8009	211
chr1	2500000-2550000	42.13	255.27	9760	250
chr1	2550000-2600000	41.76	235.63	17053	197
chr1	2600000-2650000	40.53	239.41	6091	196
chr1	2650000-2700000	40.01	247.10	8115	224
chr1	2700000-2750000	40.73	242.03	1657	220
chr1	2750000-2800000	38.43	233.20	5349	164
chr1	2800000-2850000	40.93	197.43	2111	208
chr1	2850000-2900000	38.85	224.81	6615	207
chr1	2900000-2950000	39.09	234.67	4091	186
chr1	2950000-3000000	38.75	210.57	5873	198
chr1	3000000-3050000	41.11	261.91	11085	188
